cycle,position,ax_raw_g,ay_raw_g,az_raw_g
1,+Z,-0.019043,0.015625,0.971191
1,+Z,-0.018066,0.01709,0.966797
1,+Z,-0.010742,0.019287,0.960449
1,+Z,-0.019043,0.017578,0.965332
1,+Z,-0.01709,0.012207,0.966309
1,+Z,-0.010498,0.015869,0.963623
1,+Z,-0.016846,0.018555,0.966309
1,+Z,-0.011719,0.017578,0.96582
1,+Z,-0.015381,0.013916,0.962891
1,+Z,-0.021729,0.016357,0.968262
1,+Z,-0.011719,0.015625,0.967285
1,+Z,-0.016846,0.017578,0.963379
1,+Z,-0.019531,0.017822,0.967529
1,+Z,-0.018311,0.013428,0.969482
1,+Z,-0.013916,0.020264,0.969482
1,+Z,-0.01709,0.017822,0.970215
1,+Z,-0.017822,0.012939,0.967529
1,+Z,-0.014893,0.014648,0.965576
1,+Z,-0.010986,0.020996,0.960205
1,+Z,-0.024414,0.014893,0.962402
1,+Z,-0.015869,0.016846,0.974854
1,+Z,-0.020508,0.014648,0.966797
1,+Z,-0.019531,0.01709,0.964844
1,+Z,-0.021973,0.012451,0.968262
1,+Z,-0.016602,0.015381,0.971191
1,+Z,-0.022461,0.018555,0.9646
1,+Z,-0.019775,0.014648,0.965332
1,+Z,-0.01123,0.01416,0.9646
1,+Z,-0.010986,0.019287,0.957031
1,+Z,-0.014404,0.019043,0.968018
1,+Z,-0.017822,0.014404,0.965576
1,+Z,-0.009033,0.019775,0.961914
1,+Z,-0.016357,0.018311,0.963379
1,+Z,-0.022705,0.009766,0.964355
1,+Z,-0.025635,0.014893,0.969238
1,+Z,-0.015625,0.017822,0.963135
1,+Z,-0.015869,0.01709,0.973145
1,+Z,-0.025879,0.011719,0.9646
1,+Z,-0.013916,0.018066,0.962158
1,+Z,-0.02002,0.014893,0.961914
1,+Z,-0.011963,0.013672,0.963867
1,+Z,-0.015137,0.013672,0.962402
1,+Z,-0.015869,0.014648,0.964355
1,+Z,-0.010742,0.019287,0.962402
1,+Z,-0.020264,0.016113,0.965332
1,+Z,-0.009277,0.019043,0.958984
1,+Z,-0.011475,0.019531,0.95752
1,+Z,-0.02124,0.012939,0.965576
1,+Z,-0.010498,0.010742,0.959961
1,+Z,-0.015137,0.016602,0.961182
1,+Z,-0.015381,0.012939,0.960938
1,+Z,-0.01709,0.012695,0.966064
1,+Z,-0.018799,0.019531,0.965332
1,+Z,-0.014404,0.016602,0.9646
1,+Z,-0.02002,0.011719,0.975098
1,+Z,-0.015869,0.014404,0.96582
1,+Z,-0.018555,0.018555,0.965332
1,+Z,-0.018555,0.018555,0.966553
1,+Z,-0.021484,0.014648,0.965332
1,+Z,-0.010254,0.01709,0.967529
1,+Z,-0.01709,0.019531,0.969971
1,+Z,-0.015869,0.015137,0.960205
1,+Z,-0.012939,0.016357,0.969482
1,+Z,-0.01001,0.01709,0.965332
1,+Z,-0.017578,0.017334,0.959961
1,+Z,-0.016357,0.014648,0.962646
1,+Z,-0.013916,0.019775,0.96167
1,+Z,-0.008057,0.017822,0.965576
1,+Z,-0.01416,0.019043,0.968018
1,+Z,-0.022705,0.006348,0.967285
1,+Z,-0.016113,0.017334,0.967285
1,+Z,-0.019043,0.015381,0.968018
1,+Z,-0.01709,0.01416,0.961182
1,+Z,-0.023193,0.013184,0.966553
1,+Z,-0.016113,0.016846,0.963135
1,+Z,-0.013672,0.020264,0.958008
1,+Z,-0.018799,0.011475,0.960938
1,+Z,-0.018555,0.015137,0.964111
1,+Z,-0.013672,0.018799,0.965088
1,+Z,-0.014404,0.015869,0.965088
1,+Z,-0.009033,0.015381,0.960693
1,+Z,-0.015869,0.013428,0.960205
1,+Z,-0.016113,0.01123,0.961914
1,+Z,-0.01709,0.013184,0.964844
1,+Z,-0.011719,0.018799,0.96582
1,+Z,-0.014404,0.015137,0.97168
1,+Z,-0.02002,0.010986,0.967529
1,+Z,-0.018555,0.016846,0.967285
1,+Z,-0.012695,0.017334,0.968262
1,+Z,-0.021729,0.011719,0.970459
1,+Z,-0.021729,0.011719,0.967285
1,+Z,-0.018799,0.016602,0.968018
1,+Z,-0.019043,0.013916,0.964111
1,+Z,-0.012207,0.022949,0.96167
1,+Z,-0.018311,0.016846,0.962158
1,+Z,-0.01709,0.015869,0.971191
1,+Z,-0.011963,0.02002,0.961182
