series,tau_s,adev_dps,clusters
gx_raw_dps,0.220000,0.031380165,16364
gx_raw_dps,0.330000,0.025713121,10909
gx_raw_dps,0.440000,0.021890552,8182
gx_raw_dps,0.550000,0.019675842,6545
gx_raw_dps,0.660000,0.018075329,5454
gx_raw_dps,0.770000,0.016808535,4675
gx_raw_dps,0.880000,0.015941645,4091
gx_raw_dps,1.100000,0.014536343,3272
gx_raw_dps,1.320000,0.013167056,2727
gx_raw_dps,1.650000,0.012066498,2181
gx_raw_dps,2.090000,0.010972496,1722
gx_raw_dps,2.530000,0.010193608,1422
gx_raw_dps,3.080000,0.009284591,1168
gx_raw_dps,3.740000,0.008430464,962
gx_raw_dps,4.620000,0.007364372,779
gx_raw_dps,5.610000,0.007057074,641
gx_raw_dps,6.930000,0.006199072,519
gx_raw_dps,8.470000,0.005782226,425
gx_raw_dps,10.340000,0.005692834,348
gx_raw_dps,12.760000,0.005287214,282
gx_raw_dps,15.620000,0.005266990,230
gx_raw_dps,19.030000,0.004839625,189
gx_raw_dps,23.320000,0.004701033,154
gx_raw_dps,28.600000,0.004818371,125
gx_raw_dps,35.090000,0.004611279,102
gx_raw_dps,42.900000,0.005094527,83
gx_raw_dps,52.580000,0.005202572,68
gx_raw_dps,64.460000,0.005586164,55
gx_raw_dps,78.870000,0.005971379,45
gx_raw_dps,96.690000,0.006366249,37
gx_raw_dps,118.360000,0.006770695,30
gx_raw_dps,144.980000,0.007850866,24
gx_raw_dps,177.650000,0.008428006,20
gx_raw_dps,217.580000,0.009865981,16
gx_raw_dps,266.530000,0.011028745,13
gx_raw_dps,326.480000,0.012253865,11
gx_raw_dps,399.850000,0.013862313,9
gx_raw_dps,489.830000,0.014797117,7
gx_raw_dps,599.940000,0.015941567,6
gy_raw_dps,0.220000,0.034132841,16364
gy_raw_dps,0.330000,0.027656146,10909
gy_raw_dps,0.440000,0.023955144,8182
gy_raw_dps,0.550000,0.021096148,6545
gy_raw_dps,0.660000,0.019157378,5454
gy_raw_dps,0.770000,0.018138135,4675
gy_raw_dps,0.880000,0.016889670,4091
gy_raw_dps,1.100000,0.015023778,3272
gy_raw_dps,1.320000,0.013949705,2727
gy_raw_dps,1.650000,0.012650458,2181
gy_raw_dps,2.090000,0.011267683,1722
gy_raw_dps,2.530000,0.010364334,1422
gy_raw_dps,3.080000,0.009373236,1168
gy_raw_dps,3.740000,0.008462506,962
gy_raw_dps,4.620000,0.008060121,779
gy_raw_dps,5.610000,0.007286087,641
gy_raw_dps,6.930000,0.006484726,519
gy_raw_dps,8.470000,0.005808835,425
gy_raw_dps,10.340000,0.005333125,348
gy_raw_dps,12.760000,0.004720207,282
gy_raw_dps,15.620000,0.004230655,230
gy_raw_dps,19.030000,0.004136984,189
gy_raw_dps,23.320000,0.003992879,154
gy_raw_dps,28.600000,0.004160192,125
gy_raw_dps,35.090000,0.003770936,102
gy_raw_dps,42.900000,0.003916863,83
gy_raw_dps,52.580000,0.003841589,68
gy_raw_dps,64.460000,0.003574390,55
gy_raw_dps,78.870000,0.003772612,45
gy_raw_dps,96.690000,0.003623068,37
gy_raw_dps,118.360000,0.003314014,30
gy_raw_dps,144.980000,0.003011957,24
gy_raw_dps,177.650000,0.003362316,20
gy_raw_dps,217.580000,0.003563460,16
gy_raw_dps,266.530000,0.004398419,13
gy_raw_dps,326.480000,0.004042493,11
gy_raw_dps,399.850000,0.004354402,9
gy_raw_dps,489.830000,0.005427623,7
gy_raw_dps,599.940000,0.005826878,6
gz_raw_dps,0.220000,0.029355185,16364
gz_raw_dps,0.330000,0.023853508,10909
gz_raw_dps,0.440000,0.020980566,8182
gz_raw_dps,0.550000,0.018406364,6545
gz_raw_dps,0.660000,0.016718867,5454
gz_raw_dps,0.770000,0.015897831,4675
gz_raw_dps,0.880000,0.014859495,4091
gz_raw_dps,1.100000,0.013241865,3272
gz_raw_dps,1.320000,0.011747050,2727
gz_raw_dps,1.650000,0.010615425,2181
gz_raw_dps,2.090000,0.009636307,1722
gz_raw_dps,2.530000,0.008704434,1422
gz_raw_dps,3.080000,0.008111740,1168
gz_raw_dps,3.740000,0.007472592,962
gz_raw_dps,4.620000,0.006716218,779
gz_raw_dps,5.610000,0.006193164,641
gz_raw_dps,6.930000,0.005772726,519
gz_raw_dps,8.470000,0.004928149,425
gz_raw_dps,10.340000,0.004847432,348
gz_raw_dps,12.760000,0.004299779,282
gz_raw_dps,15.620000,0.004074040,230
gz_raw_dps,19.030000,0.003567793,189
gz_raw_dps,23.320000,0.003439258,154
gz_raw_dps,28.600000,0.002738639,125
gz_raw_dps,35.090000,0.002914494,102
gz_raw_dps,42.900000,0.002495667,83
gz_raw_dps,52.580000,0.001727153,68
gz_raw_dps,64.460000,0.001911792,55
gz_raw_dps,78.870000,0.002085949,45
gz_raw_dps,96.690000,0.001987457,37
gz_raw_dps,118.360000,0.001778435,30
gz_raw_dps,144.980000,0.001543529,24
gz_raw_dps,177.650000,0.001504547,20
gz_raw_dps,217.580000,0.001419100,16
gz_raw_dps,266.530000,0.001365156,13
gz_raw_dps,326.480000,0.001355663,11
gz_raw_dps,399.850000,0.001953911,9
gz_raw_dps,489.830000,0.001702653,7
gz_raw_dps,599.940000,0.001588284,6
gx_dps,0.220000,0.031399161,16364
gx_dps,0.330000,0.025724245,10909
gx_dps,0.440000,0.021904072,8182
gx_dps,0.550000,0.019687156,6545
gx_dps,0.660000,0.018085952,5454
gx_dps,0.770000,0.016819014,4675
gx_dps,0.880000,0.015948513,4091
gx_dps,1.100000,0.014537574,3272
gx_dps,1.320000,0.013166132,2727
gx_dps,1.650000,0.012059811,2181
gx_dps,2.090000,0.010976538,1722
gx_dps,2.530000,0.010193949,1422
gx_dps,3.080000,0.009283127,1168
gx_dps,3.740000,0.008418067,962
gx_dps,4.620000,0.007328529,779
gx_dps,5.610000,0.007001081,641
gx_dps,6.930000,0.006141349,519
gx_dps,8.470000,0.005674655,425
gx_dps,10.340000,0.005475983,348
gx_dps,12.760000,0.004910387,282
gx_dps,15.620000,0.004719521,230
gx_dps,19.030000,0.004152322,189
gx_dps,23.320000,0.003865604,154
gx_dps,28.600000,0.003678456,125
gx_dps,35.090000,0.003796954,102
gx_dps,42.900000,0.003980903,83
gx_dps,52.580000,0.003748641,68
gx_dps,64.460000,0.003933295,55
gx_dps,78.870000,0.004370468,45
gx_dps,96.690000,0.004490545,37
gx_dps,118.360000,0.004455330,30
gx_dps,144.980000,0.005115099,24
gx_dps,177.650000,0.005527971,20
gx_dps,217.580000,0.006060557,16
gx_dps,266.530000,0.005847676,13
gx_dps,326.480000,0.005453233,11
gx_dps,399.850000,0.005980881,9
gx_dps,489.830000,0.007427532,7
gx_dps,599.940000,0.007836872,6
gy_dps,0.220000,0.034136426,16364
gy_dps,0.330000,0.027659644,10909
gy_dps,0.440000,0.023951415,8182
gy_dps,0.550000,0.021093318,6545
gy_dps,0.660000,0.019158816,5454
gy_dps,0.770000,0.018135216,4675
gy_dps,0.880000,0.016883943,4091
gy_dps,1.100000,0.015022894,3272
gy_dps,1.320000,0.013953871,2727
gy_dps,1.650000,0.012661145,2181
gy_dps,2.090000,0.011275202,1722
gy_dps,2.530000,0.010384240,1422
gy_dps,3.080000,0.009409011,1168
gy_dps,3.740000,0.008495701,962
gy_dps,4.620000,0.008129660,779
gy_dps,5.610000,0.007370536,641
gy_dps,6.930000,0.006641648,519
gy_dps,8.470000,0.006087769,425
gy_dps,10.340000,0.005712659,348
gy_dps,12.760000,0.005178079,282
gy_dps,15.620000,0.004928058,230
gy_dps,19.030000,0.005163462,189
gy_dps,23.320000,0.005435945,154
gy_dps,28.600000,0.005688163,125
gy_dps,35.090000,0.005906739,102
gy_dps,42.900000,0.006709153,83
gy_dps,52.580000,0.007328180,68
gy_dps,64.460000,0.007745191,55
gy_dps,78.870000,0.008701739,45
gy_dps,96.690000,0.009300589,37
gy_dps,118.360000,0.009938207,30
gy_dps,144.980000,0.011885710,24
gy_dps,177.650000,0.012751581,20
gy_dps,217.580000,0.015615814,16
gy_dps,266.530000,0.016942034,13
gy_dps,326.480000,0.017058358,11
gy_dps,399.850000,0.022079622,9
gy_dps,489.830000,0.023803473,7
gy_dps,599.940000,0.024306893,6
gz_dps,0.220000,0.029351654,16364
gz_dps,0.330000,0.023850573,10909
gz_dps,0.440000,0.020980837,8182
gz_dps,0.550000,0.018409882,6545
gz_dps,0.660000,0.016718023,5454
gz_dps,0.770000,0.015900337,4675
gz_dps,0.880000,0.014862198,4091
gz_dps,1.100000,0.013247046,3272
gz_dps,1.320000,0.011756378,2727
gz_dps,1.650000,0.010627918,2181
gz_dps,2.090000,0.009653739,1722
gz_dps,2.530000,0.008723120,1422
gz_dps,3.080000,0.008130982,1168
gz_dps,3.740000,0.007503003,962
gz_dps,4.620000,0.006745942,779
gz_dps,5.610000,0.006259370,641
gz_dps,6.930000,0.005837913,519
gz_dps,8.470000,0.005050217,425
gz_dps,10.340000,0.004996167,348
gz_dps,12.760000,0.004519190,282
gz_dps,15.620000,0.004360433,230
gz_dps,19.030000,0.003956491,189
gz_dps,23.320000,0.003998671,154
gz_dps,28.600000,0.003384167,125
gz_dps,35.090000,0.003645323,102
gz_dps,42.900000,0.003544549,83
gz_dps,52.580000,0.003463850,68
gz_dps,64.460000,0.004071641,55
gz_dps,78.870000,0.004455895,45
