t_s,ax_raw_g,ay_raw_g,az_raw_g,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpu_temp_c,roll_deg,pitch_deg,bx_uT,by_uT,bz_uT,mag_uT,bx_cal_uT,by_cal_uT,bz_cal_uT,mag_cal_uT,yaw_flat_deg,yaw_tilt_deg,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg,bmp_temp_c,pressure_pa,altitude_m
495.637,0.05957,0.339111,-1.015869,-3.022901,2.778626,-2.854962,0.08092,0.36251,-0.958087,-4.472157,3.623879,-3.427169,43.477,163.705,6.041,-16.9725,-38.3486,-21.6514,47.196,-17.9444,-78.3829,-81.5728,114.5426,102.895,263.074,159.804,-2.553,259.868,26.86,100572.35,-139.935
495.747,0.045654,0.381836,-1.022461,-25.465649,1.007634,-10.793893,0.068197,0.405787,-0.964131,-26.914387,1.853557,-11.366401,43.486,160.673,6.045,-17.5229,-38.4404,-21.2844,47.3048,-18.5292,-78.4503,-81.2075,114.4223,103.289,262.608,156.491,-2.353,260.996,26.86,100571.68,-139.877
495.857,0.012207,0.311523,-1.016846,-0.778626,-4.259542,0.946565,0.032772,0.336277,-0.9591,-2.226497,-3.412501,0.373555,43.501,160.434,5.52,-17.7064,-38.3486,-21.3761,47.34,-18.7188,-78.3766,-81.2892,114.4606,103.432,262.231,156.699,-1.891,260.592,26.87,100571.27,-139.845
495.967,-0.057617,0.36499,-0.890625,-56.961834,-21.328245,-17.145039,-0.035322,0.389014,-0.83334,-58.410053,-20.481651,-17.717848,43.495,154.027,3.245,-18.3486,-37.4312,-21.7431,47.0163,-19.3739,-77.5929,-81.5863,114.2468,104.019,260.784,150.069,1.503,261.116,26.87,100570.88,-139.813
496.087,0.137939,0.493408,-0.816162,-18.030535,-30.778625,3.969466,0.16401,0.510321,-0.759319,-19.478752,-29.932032,3.396657,43.495,151.578,-0.543,-22.2018,-35.6881,-20.0917,46.5858,-23.4211,-76.0035,-79.795,112.6602,107.127,257.238,147.153,3.06,258.566,26.87,100570.47,-139.776
496.197,-0.041016,0.599609,-0.94165,-85.847328,-41.0229,57.389313,-0.012189,0.624347,-0.881639,-87.296066,-40.176975,56.816803,43.486,142.029,-4.85,-22.9358,-35.8716,-19.1743,46.6955,-24.2093,-76.1231,-78.8905,112.2699,107.642,256.819,136.935,2.447,250.892,26.87,100570.12,-139.75
496.317,-0.442383,0.939697,-0.605957,-29.770992,-70.183205,-11.374045,-0.403388,0.968679,-0.544242,-31.219557,-69.337059,-11.946653,43.489,137.904,-12.508,-22.7523,-38.5321,-14.4954,47.0373,-24.134,-78.2112,-74.446,110.642,107.149,257.379,130.678,11.315,246.453,26.87,100569.8,-139.718
496.437,-0.105225,0.781494,-0.741943,35.419846,68.473282,-4.045802,-0.07091,0.803799,-0.681934,33.971973,69.32032,-4.618811,43.501,141.747,-4.029,-22.4771,-37.4312,-14.3119,45.9472,-23.8346,-77.2218,-74.2077,109.7181,107.153,257.049,135.552,5.157,254.095,26.87,100570.22,-139.755
496.547,-0.031494,0.744629,-0.616943,19.221375,39.435116,-47.526718,0.002011,0.762128,-0.558932,17.77177,40.279922,-48.098724,43.471,143.353,0.391,-20.8257,-37.8899,-13.1193,45.1826,-22.1302,-77.5391,-73.0907,108.8316,105.929,258.234,137.097,5.029,261.351,26.87,100570.3,-139.76
496.657,0.056152,0.54834,-1.052979,139.832062,32.473282,-44.961834,0.083341,0.572711,-0.992767,138.383331,33.319206,-45.534344,43.486,158.406,3.892,-21.7431,-36.6972,-12.7523,44.5205,-23.0834,-76.4732,-72.6457,107.974,106.796,258.247,154.086,3.917,267.095,26.87,100570.03,-139.739
496.777,-0.05249,0.562012,-0.758057,-42.213741,2.167939,37.984734,-0.024395,0.583093,-0.700257,-43.663345,3.012745,37.412727,43.471,152.908,4.199,-18.7156,-35.3211,-17.4312,43.6085,-19.8083,-75.482,-77.2205,109.7858,104.704,260.441,147.023,1.337,262.549,26.86,100569.51,-139.697
496.887,-0.236572,0.479736,-0.9104,98.519081,-15.083969,35.34351,-0.211089,0.509302,-0.850959,97.070518,-14.237823,34.770901,43.489,163.296,2.821,-18.4404,-35.7798,-16.2385,43.4043,-19.5468,-75.8169,-76.0791,109.171,104.457,259.795,157.758,2.201,258.279,26.86,100569.19,-139.671
497.007,-0.070312,0.555664,-0.969482,21.61832,61.35878,-8.366412,-0.042778,0.581819,-0.909472,20.168198,62.202915,-8.938119,43.462,165.35,10.125,-15.2294,-35.2294,-19.5413,43.0686,-16.1143,-75.4765,-79.3515,110.6935,102.052,266.482,158.876,-4.478,262.329,26.85,100568.49,-139.612
497.127,-0.156738,0.536133,-0.973145,14.534351,-15.358779,-11.816793,-0.129769,0.564811,-0.91288,13.084748,-14.513973,-12.388801,43.471,166.547,8.353,-16.3303,-35.1376,-18.4404,42.9113,-17.287,-75.3465,-78.2445,109.9915,102.922,264.633,159.106,-0.787,262.77,26.85,100568.64,-139.623
497.247,0.040527,0.232178,-0.474365,125.297707,31.358778,63.129772,0.059831,0.244373,-0.423139,123.849144,32.204926,62.557163,43.489,180.78,11.834,-15.6881,-34.6789,-19.2661,42.6606,-16.5931,-74.979,-79.0414,110.2031,102.479,270.137,173.243,-6.867,256.128,26.84,100567.72,-139.544
497.367,0.11792,0.050781,-0.783691,159.70993,95.450378,34.580154,0.131554,0.067405,-0.731385,158.261017,96.296082,34.007748,43.483,199.272,22.72,-7.8899,-39.9083,-17.8899,44.4406,-8.508,-79.4342,-78.1254,111.7397,96.114,302.016,-166.67,-18.57,251.482,26.84,100567.02,-139.486
497.477,0.20874,-0.110107,-0.859375,37.893131,28.732824,32.763359,0.217705,-0.094479,-0.808271,36.442661,29.576513,32.191853,43.456,195.748,25.154,-0.5505,-43.3945,-15.5046,46.0845,-0.8995,-82.2932,-76.1097,112.0967,90.626,304.218,-162.078,-19.996,246.949,26.83,100566.41,-139.433
497.587,0.285645,-0.148682,-0.993652,-0.70229,6.961832,25.389313,0.293286,-0.132345,-0.941892,-2.152066,7.806415,24.817406,43.468,188.161,25.15,0.9174,-44.0367,-14.5872,46.3989,0.615,-82.7912,-75.2705,111.8946,89.574,297.574,-162.576,-19.362,244.08,26.82,100565.98,-139.401
497.697,0.340088,-0.219482,-1.048828,18.580153,28.519083,0.977099,0.345637,-0.203522,-0.997439,17.129511,29.362549,0.405693,43.454,182.875,27.437,1.7431,-44.4037,-14.3119,46.6857,1.4712,-83.0901,-75.0356,111.9663,88.986,295.482,-161.006,-22.251,243.107,26.81,100565.7,-139.375
497.807,0.438965,-0.242188,-0.911621,34.885498,50.091602,-11.480916,0.444128,-0.232005,-0.862336,33.434856,50.93507,-12.052322,43.454,179.523,31.85,1.7431,-45.5046,-11.5596,46.9822,1.4082,-83.9085,-72.3927,110.8302,89.038,294.789,-157.54,-28.182,242.292,26.81,100565.45,-139.354
497.917,0.516602,-0.213379,-0.82959,4.580153,-5.954198,2.503817,0.522732,-0.207161,-0.781239,3.129165,-5.111178,1.93261,43.448,172.967,30.004,1.4679,-46.055,-10.0,47.1511,1.0849,-84.3108,-70.886,110.1559,89.263,288.531,-158.476,-27.51,242.33,26.8,100565.5,-139.359
498.027,0.394775,-0.205566,-0.854492,59.419846,-6.198473,-14.38168,0.401071,-0.195353,-0.805236,57.969376,-5.354784,-14.953186,43.456,172.43,28.31,1.5596,-45.5963,-11.1009,46.9541,1.2065,-83.966,-71.9438,110.5787,89.177,287.728,-154.318,-26.909,244.395,26.79,100564.98,-139.317
498.137,0.443359,-0.235352,-0.809814,112.732826,-29.19084,-27.633587,0.448899,-0.227492,-0.761538,111.281494,-28.348267,-28.204594,43.442,177.709,24.099,2.2018,-45.0459,-12.5688,46.8183,1.913,-83.5538,-73.3668,111.2096,88.688,289.331,-145.83,-25.248,249.199,26.78,100565.2,-139.332
498.257,0.498047,-0.413818,-0.876953,114.564888,-24.671755,-39.068703,0.498433,-0.406121,-0.829969,113.113899,-23.828735,-39.639908,43.448,184.379,20.248,1.8349,-44.3119,-14.1284,46.546,1.5653,-82.9971,-74.8516,111.7754,88.92,290.947,-137.168,-24.942,255.364,26.77,100564.42,-139.269
498.377,0.320557,-0.631836,-0.709473,76.671753,-19.007633,15.40458,0.315076,-0.622801,-0.665506,75.22007,-18.165504,14.833774,43.436,186.8,17.325,2.1101,-43.6697,-16.2385,46.6389,1.8996,-82.545,-76.8942,112.8273,88.682,290.652,-130.569,-19.569,255.768,26.76,100564.47,-139.269
498.487,0.558594,-1.019043,-0.52832,91.190842,75.343513,40.9771,0.54253,-1.02081,-0.491102,89.73951,76.186089,40.406094,43.442,190.423,24.68,6.2385,-43.8532,-17.156,47.5011,6.2422,-82.7071,-77.8799,113.7748,85.684,303.136,-117.888,-20.02,245.533,26.75,100563.95,-139.227
498.597,0.329102,-1.028809,-0.461182,7.435114,-15.450381,33.541985,0.312863,-1.025522,-0.423677,5.982916,-14.608923,32.971478,43.427,185.011,22.296,11.6514,-44.2202,-15.4128,48.257,11.8819,-82.8636,-76.2833,113.2551,81.84,299.292,-120.045,-15.081,245.47,26.74,100563.41,-139.184
498.707,0.312744,-0.871094,-0.5625,-21.908398,7.114504,18.427481,0.300774,-0.865098,-0.52234,-23.360941,7.955517,17.857174,43.421,176.37,22.377,12.3853,-43.3028,-16.9725,48.131,12.6909,-82.1303,-77.7773,113.8233,81.216,294.34,-125.259,-13.857,244.037,26.73,100563.56,-139.195
498.817,0.352783,-0.766602,-0.288818,29.770992,34.427483,-30.274809,0.344258,-0.767621,-0.250666,28.317757,35.267605,-30.844717,43.409,173.733,25.269,13.3945,-43.7615,-15.5963,48.35,13.7187,-82.4454,-76.4685,113.2823,80.553,294.426,-121.808,-19.636,242.431,26.72,100563.22,-139.169
498.937,0.379395,-0.760498,-0.321777,18.916031,-3.160305,46.030533,0.370984,-0.761558,-0.283349,17.463833,-2.318846,45.460026,43.427,170.104,24.0,11.9266,-44.7706,-13.8532,48.3587,12.1358,-83.2589,-74.7864,112.5714,81.707,290.373,-120.596,-14.834,239.734,26.71,100562.73,-139.126
499.047,0.27124,-0.622314,-0.264648,19.251909,14.229008,29.068703,0.266823,-0.621494,-0.224965,17.800056,15.070912,28.497995,43.433,166.423,24.705,14.3119,-44.3119,-13.3945,48.454,14.6345,-82.7958,-74.3517,112.2385,79.976,289.861,-119.247,-13.713,236.685,26.7,100562.39,-139.095
499.167,0.359619,-0.968018,-0.567139,-37.145039,-12.564885,1.419847,0.344909,-0.963285,-0.528091,-38.597408,-11.723649,0.84944,43.424,156.181,22.484,18.6239,-42.9358,-13.7615,48.7822,19.1797,-81.5423,-74.7105,112.2438,76.764,286.616,-126.995,-13.726,238.29,26.69,100562.18,-139.079
499.287,0.400635,-0.671875,-0.466064,5.282443,43.129772,-14.900764,0.394468,-0.670387,-0.425382,3.828862,43.969448,-15.470472,43.404,151.059,26.676,15.6881,-44.0367,-12.844,48.4801,16.0711,-82.503,-73.8193,111.8674,78.977,283.264,-126.43,-19.687,235.121,26.68,100562.5,-139.105
499.397,0.492432,-0.736572,-0.445801,-150.687027,-7.19084,-2.0,0.484483,-0.738148,-0.406386,-152.140442,-6.35094,-2.569808,43.406,129.259,24.86,13.4862,-45.1376,-11.0092,48.3786,13.7158,-83.4019,-72.0392,111.057,80.661,272.354,-144.266,-19.986,235.949,26.67,100562.36,-139.095
499.517,0.340576,-0.573975,-0.872559,-162.198471,-131.328247,-4.015267,0.336437,-0.561962,-0.826436,-163.652222,-130.4888,-4.584877,43.401,104.514,8.647,11.1927,-44.3119,-14.2202,47.8648,11.3786,-82.8828,-75.108,112.4288,82.183,271.236,-165.825,-5.762,242.972,26.65,100562.48,-139.105
499.637,-0.272705,-0.479248,-1.297119,-18.38168,-6.91603,146.824432,-0.274987,-0.440632,-1.242807,-19.835951,-6.077245,146.255127,43.392,96.882,7.994,3.4862,-37.4312,-25.0459,45.1724,3.5786,-77.5022,-85.2208,115.2475,87.356,266.503,-166.448,0.261,226.652,26.63,100562.43,-139.1
499.747,-0.123535,-0.427979,-1.322266,-80.0,-74.427483,-12.091603,-0.124402,-0.393032,-1.267895,-81.454102,-73.58847,-12.661014,43.395,82.908,0.008,6.789,-37.0642,-25.5046,45.5009,7.0544,-77.161,-85.7095,115.5409,84.776,275.326,-174.067,6.441,230.625,26.62,100562.64,-139.116
499.867,0.22998,-0.099365,-1.164795,-304.198486,81.496185,17.541985,0.238702,-0.077733,-1.110523,-305.652924,82.334747,16.972775,43.389,41.786,9.448,-2.2018,-36.9725,-23.945,44.1041,-2.399,-77.1057,-84.0114,114.0568,91.782,175.899,150.697,-6.821,233.614,26.61,100562.94,-139.142
499.977,0.286377,0.133057,-0.346924,-10.748092,63.908398,32.70229,0.303133,0.13549,-0.299131,-12.203053,64.746292,32.133377,43.38,42.748,15.384,-6.1468,-39.8165,-18.8073,44.4618,-6.6629,-79.383,-79.053,112.2293,94.798,172.686,149.614,-19.165,237.127,26.6,100562.76,-139.126
500.087,0.245361,0.506592,-1.325195,-96.625954,21.358778,40.274811,0.270898,0.531467,-1.263456,-98.080742,22.196896,39.705799,43.383,34.463,17.246,-6.422,-42.1101,-14.0367,44.8501,-7.0655,-81.1466,-74.4892,110.3781,94.976,147.308,140.659,-23.081,237.037,26.59,100562.38,-139.095
500.197,0.266846,0.486084,-0.929932,-132.580154,10.824428,-12.366412,0.292516,0.501798,-0.872585,-134.034592,11.662992,-12.935623,43.389,22.327,17.834,-7.4312,-43.1193,-10.367,44.9663,-8.2017,-81.8443,-70.9213,108.6075,95.723,127.502,126.334,-21.914,241.518,26.58,100562.36,-139.095
500.317,0.259033,0.522949,-0.447266,-106.167938,-25.893129,10.580153,0.286611,0.528464,-0.394523,-107.623245,-25.055677,10.011439,43.374,11.759,14.061,-10.2752,-42.844,-6.789,44.5789,-11.2437,-81.4327,-67.3377,106.2642,97.861,115.128,114.595,-20.513,241.059,26.57,100562.17,-139.079
500.437,0.215088,0.822998,-0.361328,-130.0,-32.824429,-6.442748,0.251285,0.828006,-0.306359,-131.455139,-31.986755,-7.01156,43.377,-1.73,9.701,-11.1927,-42.844,-5.1376,44.5789,-12.235,-81.3502,-65.698,105.2796,98.553,105.251,99.378,-16.208,240.298,26.56,100561.89,-139.058
500.557,0.030029,0.949707,-0.222656,-205.557251,-70.442749,8.21374,0.070036,0.957009,-0.167027,-207.01445,-69.607742,7.646121,43.342,-24.042,1.238,-13.4862,-42.2936,-1.5596,44.4191,-14.6963,-80.6877,-62.1086,102.8784,100.323,98.734,76.928,-13.736,233.243,26.56,100561.97,-139.063
500.667,0.206543,0.904053,0.476074,-62.045803,29.923664,-8.0,0.246533,0.891229,0.523198,-63.500938,30.761337,-8.568812,43.377,-29.214,4.261,-14.4954,-42.0183,0.7339,44.4544,-15.7917,-80.326,-59.8202,101.3908,101.122,99.554,67.099,-9.987,237.332,26.55,100561.59,-139.031
