t_s,ax_raw_g,ay_raw_g,az_raw_g,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpu_temp_c,roll_deg,pitch_deg,bx_uT,by_uT,bz_uT,mag_uT,bx_cal_uT,by_cal_uT,bz_cal_uT,mag_cal_uT,yaw_flat_deg,yaw_tilt_deg,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg,bmp_temp_c,pressure_pa,altitude_m
23805.537,-0.002930,0.013672,0.969727,2.305344,-0.137405,0.366412,0.012799,-0.004194,1.004083,0.769734,0.597546,-0.157128,41.971,3.947,2.939,-22.0183,-4.2202,-4.1284,22.7961,-29.0852,-2.4834,-6.9693,30.0114,175.120,176.114,0.410,-0.087,175.099,23.800,100682.91,-150.573
23805.647,-0.003418,0.011719,0.971924,2.351145,-0.106870,0.381679,0.012260,-0.006181,1.006240,0.817178,0.630156,-0.142761,42.001,3.949,2.934,-21.9266,-4.1284,-3.9450,22.6579,-28.9703,-2.3760,-6.7440,29.8397,175.311,176.276,0.409,-0.085,175.116,23.800,100683.27,-150.604
23805.757,-0.012939,0.015137,0.966309,2.290076,-0.061069,0.351145,0.002824,-0.002371,1.000761,0.756109,0.675957,-0.173295,42.001,3.949,2.945,-21.9266,-4.2202,-3.9450,22.6748,-28.9709,-2.4819,-6.7445,29.8489,175.104,176.071,0.430,-0.019,175.106,23.810,100683.53,-150.625
23805.867,-0.008789,0.010254,0.973145,2.351145,-0.122137,0.335878,0.006849,-0.007521,1.007460,0.817343,0.615096,-0.188653,42.004,3.949,2.944,-22.1101,-4.1284,-4.0367,22.8516,-29.1905,-2.3776,-6.8606,30.0800,175.343,176.317,0.418,0.007,175.121,23.810,100684.06,-150.668
23805.977,-0.002686,0.011230,0.960938,2.427481,-0.045802,0.366412,0.012959,-0.006453,0.995360,0.892529,0.689979,-0.157488,41.983,3.959,2.945,-22.0183,-4.1284,-4.0367,22.7628,-29.0818,-2.3771,-6.8578,29.9739,175.327,176.307,0.422,-0.000,175.136,23.810,100683.83,-150.652
23806.087,-0.022705,0.007080,0.911621,2.396947,0.030534,0.396947,-0.007268,-0.008971,0.946608,0.862651,0.767145,-0.127313,41.995,3.962,2.978,-22.0183,-4.3119,-3.9450,22.7808,-29.0802,-2.5883,-6.7477,29.9648,174.914,175.883,0.413,0.133,175.110,23.820,100683.56,-150.631
23806.197,0.025635,0.011719,0.959961,2.259542,-0.122137,0.381679,0.041294,-0.006747,0.994265,0.725247,0.614473,-0.142581,41.995,3.953,2.937,-21.9266,-4.1284,-4.0367,22.6741,-28.9731,-2.3765,-6.8550,29.8677,175.311,176.292,0.398,-0.076,175.126,23.820,100683.49,-150.620
23806.307,0.009033,0.009277,0.954346,2.381679,-0.030534,0.320611,0.024612,-0.008597,0.988762,0.847877,0.706700,-0.203920,42.004,3.956,2.926,-22.0183,-4.3119,-4.0367,22.7968,-29.0830,-2.5888,-6.8588,29.9927,174.913,175.896,0.395,-0.147,175.091,23.820,100683.16,-150.594
23806.417,-0.009766,0.009033,0.971191,2.366412,0.015267,0.351145,0.005835,-0.008672,1.005519,0.831953,0.751670,-0.173025,41.992,3.956,2.942,-22.1101,-4.1284,-4.0367,22.8516,-29.1905,-2.3776,-6.8606,30.0800,175.343,176.319,0.381,-0.085,175.109,23.820,100683.26,-150.604
23806.527,-0.010010,0.010742,0.968750,2.381679,-0.061069,0.351145,0.005634,-0.006903,1.003121,0.847548,0.675750,-0.173205,41.998,3.961,2.949,-21.8349,-4.2202,-3.9450,22.5861,-28.8621,-2.4813,-6.7417,29.7427,175.086,176.060,0.387,-0.037,175.097,23.820,100683.86,-150.652
