t_s,ax_raw_g,ay_raw_g,az_raw_g,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpu_temp_c,roll_deg,pitch_deg,bx_uT,by_uT,bz_uT,mag_uT,bx_cal_uT,by_cal_uT,bz_cal_uT,mag_cal_uT,yaw_flat_deg,yaw_tilt_deg,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg,bmp_temp_c,pressure_pa,altitude_m
23591.417,-0.020264,0.022705,0.969482,2.320611,-0.045802,0.381679,-0.004282,0.005339,1.004010,0.692142,0.573329,-0.092776,40.254,4.117,2.686,24.5872,-29.5413,23.5780,45.0903,26.8360,-31.2742,27.8518,49.7390,49.368,49.848,0.875,0.418,49.386,24.670,100685.09,-150.758
23591.527,0.006348,0.019775,0.963135,2.351145,-0.045802,0.427481,0.022238,0.001791,0.997575,0.722215,0.572761,-0.046740,40.245,4.114,2.668,24.6789,-29.5413,23.4862,45.0926,26.9419,-31.2741,27.7435,49.7357,49.256,49.746,0.868,0.296,49.384,24.670,100685.09,-150.758
23591.637,-0.000244,0.020264,0.972412,2.412214,0.000000,0.351145,0.015676,0.002266,1.006792,0.783284,0.618563,-0.123076,40.245,4.119,2.664,24.4954,-29.3578,23.5780,44.9202,26.7284,-31.0631,27.8499,49.5474,49.289,49.786,0.868,0.239,49.381,24.680,100685.52,-150.795
23591.747,-0.007812,0.020264,0.970215,2.412214,-0.045802,0.427481,0.008103,0.002528,1.004653,0.784207,0.573897,-0.047210,40.262,4.124,2.663,24.6789,-29.5413,23.4862,45.0926,26.9419,-31.2741,27.7435,49.7357,49.256,49.752,0.871,0.230,49.387,24.680,100685.36,-150.779
23591.857,-0.005615,0.021484,0.967041,2.442748,-0.015267,0.396947,0.010329,0.003756,1.001513,0.814125,0.603674,-0.077431,40.251,4.134,2.663,24.4954,-29.5413,23.3945,44.9446,26.7217,-31.2758,27.6269,49.5527,49.490,49.978,0.876,0.220,49.407,24.680,100685.95,-150.826
23591.967,-0.004150,0.020996,0.963135,2.458015,-0.061069,0.335878,0.011773,0.003310,0.997636,0.829085,0.557494,-0.138343,40.245,4.144,2.656,24.6789,-29.4495,23.5780,45.0804,26.9453,-31.1678,27.8550,49.7331,49.156,49.670,0.891,0.184,49.394,24.680,100685.45,-150.789
23592.077,-0.002197,0.016846,1.007812,2.458015,-0.076336,0.335878,0.013690,-0.001863,1.041801,0.830008,0.543362,-0.138813,40.262,4.149,2.647,24.4037,-29.4495,23.5780,44.9303,26.6191,-31.1695,27.8467,49.5535,49.502,50.007,0.860,0.156,49.410,24.680,100685.12,-150.758
23592.187,-0.016113,0.022705,0.973633,2.366412,0.076336,0.412214,-0.000123,0.005132,1.008098,0.737944,0.695466,-0.062242,40.254,4.151,2.669,24.5872,-29.5413,23.5780,45.0903,26.8360,-31.2742,27.8518,49.7390,49.368,49.869,0.870,0.226,49.423,24.680,100685.02,-150.752
23592.297,0.000732,0.018799,0.968506,2.351145,-0.015267,0.442748,0.016604,0.000857,1.002907,0.723138,0.604431,-0.031942,40.262,4.147,2.662,24.6789,-29.5413,23.5780,45.1404,26.9447,-31.2737,27.8546,49.7990,49.253,49.760,0.857,0.167,49.428,24.680,100685.45,-150.789
23592.407,-0.006348,0.018799,0.967041,2.381679,0.015267,0.366412,0.009521,0.001090,1.001491,0.753365,0.634587,-0.108122,40.256,4.146,2.666,24.4954,-29.5413,23.5780,45.0404,26.7273,-31.2748,27.8490,49.6792,49.483,49.978,0.841,0.172,49.443,24.690,100686.05,-150.837
