metric,value
source,data\bmp_offline_20260705_212356.csv
rows,360
duration_s,179.499
expected_height_m,3.95
baseline_altitude_m,-0.09857142857142856
final_altitude_m,3.881311475409836
final_delta_m,3.979882903981265
height_error_m,0.029882903981264697
abs_height_error_m,0.029882903981264697
relative_error_pct,0.7565292147155619
final_window_std_m,0.14584781348876485
final_window_mae_m,0.12379391100702568
pressure_start_pa,100812.77523809523
pressure_final_pa,100765.21032786886
temperature_start_c,29.486666666666668
temperature_final_c,30.6072131147541
pressure_change_pa,-47.56491022637056
