t_s,ax_raw_g,ay_raw_g,az_raw_g,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpu_temp_c,roll_deg,pitch_deg,bx_uT,by_uT,bz_uT,mag_uT,bx_cal_uT,by_cal_uT,bz_cal_uT,mag_cal_uT,yaw_flat_deg,yaw_tilt_deg,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg,bmp_temp_c,pressure_pa,altitude_m,imu_dt_us,mag_dt_us,bmp_dt_us,imu_mag_dt_us,imu_bmp_dt_us
1.289,-0.007812,0.010986,0.957520,2.259542,-0.137405,0.290076,0.007818,-0.006478,0.991999,0.813405,0.711875,-0.283938,43.530,-0.374,-0.452,-23.6697,-20.9174,33.5780,46.1007,-29.9985,-21.5714,38.5290,53.3828,144.281,144.871,-0.374,-0.452,144.871,26.460,100439.94,-140.056,1988,3588,4917,1600,2929
1.407,-0.015381,0.015625,0.973145,2.274809,-0.045802,0.351145,0.000408,-0.001961,1.007542,0.828846,0.803702,-0.222970,43.533,-0.273,-0.350,-23.8532,-21.0092,33.5780,46.2368,-30.2166,-21.6784,38.5230,53.5445,144.343,144.783,-0.242,-0.304,144.848,26.460,100439.83,-140.046,1988,3580,4880,1592,2892
1.532,-0.014893,0.009766,0.962646,2.183206,-0.122137,0.335878,0.000712,-0.007609,0.997094,0.737069,0.727142,-0.238136,43.530,-0.186,-0.255,-23.7615,-21.0092,33.5780,46.1895,-30.1078,-21.6779,38.5258,53.4850,144.246,144.557,-0.185,-0.189,144.805,26.460,100439.93,-140.056,1985,3581,4906,1596,2921
1.673,-0.014648,0.014893,0.961914,2.213740,-0.091603,0.351145,0.001100,-0.002471,0.996418,0.767430,0.757452,-0.222769,43.527,-0.079,-0.146,-23.7615,-21.1009,33.5780,46.2313,-30.1084,-21.7838,38.5253,53.5280,144.114,144.269,-0.095,-0.081,144.745,26.460,100440.02,-140.062,1979,3584,4915,1605,2936
1.823,-0.009033,0.014404,0.967041,2.137405,-0.030534,0.335878,0.006711,-0.003230,1.001461,0.690921,0.818297,-0.237935,43.524,0.020,-0.031,-23.7615,-21.1009,33.7615,46.3648,-30.1028,-21.7828,38.7474,53.6845,144.110,144.112,-0.036,-0.026,144.673,26.470,100440.28,-140.083,1924,3526,4859,1602,2935
1.947,-0.000977,0.007812,0.961914,2.183206,-0.061069,0.259542,0.014573,-0.009942,0.996285,0.736375,0.787315,-0.314070,43.518,0.098,0.049,-23.7615,-21.0092,33.6697,46.2563,-30.1050,-21.6774,38.6368,53.5633,144.244,144.131,-0.030,-0.043,144.611,26.470,100440.72,-140.120,1982,3581,4907,1599,2925
2.068,-0.012207,0.013672,0.966309,2.229008,-0.137405,0.442748,0.003515,-0.003857,1.000744,0.782004,0.710755,-0.130764,43.515,0.184,0.128,-23.8532,-21.1009,33.6697,46.3452,-30.2143,-21.7839,38.6335,53.6656,144.209,143.977,0.024,0.011,144.575,26.470,100440.98,-140.146,1971,3582,4896,1611,2925
2.192,-0.017090,0.009766,0.963379,2.183206,-0.045802,0.335878,-0.001484,-0.007563,0.997829,0.736375,0.802582,-0.237734,43.518,0.262,0.225,-23.5780,-21.0092,33.5780,46.0954,-29.8904,-21.6767,38.5314,53.3665,144.050,143.691,0.031,0.101,144.512,26.470,100441.23,-140.167,1985,3589,4920,1604,2935
2.318,-0.020508,0.015137,0.967529,2.198473,-0.076336,0.290076,-0.004743,-0.002182,1.002005,0.752336,0.772943,-0.283938,43.530,0.347,0.321,-23.7615,-20.9174,33.6697,46.2147,-30.1045,-21.5715,38.6373,53.5205,144.376,143.887,0.094,0.211,144.463,26.470,100441.07,-140.151,1979,3581,4923,1602,2944
2.456,-0.018555,0.013672,0.974854,2.167939,-0.137405,0.366412,-0.002818,-0.003862,1.009230,0.721108,0.710979,-0.207200,43.518,0.433,0.414,-23.6697,-21.0092,33.5780,46.1424,-29.9991,-21.6773,38.5286,53.4257,144.148,143.531,0.121,0.281,144.400,26.480,100441.63,-140.199,1969,3572,4900,1603,2931
2.579,-0.007080,0.011230,0.965332,2.229008,-0.091603,0.290076,0.008572,-0.006423,0.999729,0.781483,0.755885,-0.283134,43.506,0.511,0.487,-23.6697,-21.1009,33.6697,46.2510,-29.9969,-21.7827,38.6391,53.5470,144.014,143.286,0.124,0.255,144.326,26.480,100441.47,-140.183,1979,3579,4904,1600,2925
