t_s,east_m,north_m,ve_mps,vn_mps,ae_mps2,an_mps2,gps_updates,last_gps_residual_m,p_pos_e_m2,p_pos_n_m2
1.289,0.000,-0.186,0.0000,-0.0000,0.0000,-0.0000,0,,25.000,25.000
1.407,0.000,-0.186,0.0001,-0.0001,0.0006,-0.0011,0,,25.057,25.057
1.532,0.000,-0.186,0.0002,-0.0001,0.0011,0.0003,0,,25.239,25.239
1.673,0.000,-0.186,0.0003,-0.0001,0.0004,0.0000,1,0.000,6.659,6.659
1.823,0.000,-0.083,0.0002,0.0154,-0.0006,0.0013,1,0.213,3.537,3.537
1.947,0.000,-0.081,0.0000,0.0158,-0.0011,0.0036,0,,3.729,3.729
2.068,0.000,-0.079,0.0000,0.0160,-0.0001,0.0018,0,,4.036,4.036
2.192,0.000,-0.077,0.0001,0.0163,0.0010,0.0022,0,,4.475,4.475
2.318,0.000,-0.075,0.0002,0.0165,0.0008,0.0014,0,,5.051,5.051
2.456,0.000,-0.034,0.0003,0.0377,0.0006,0.0023,1,0.099,3.539,3.539
2.579,0.000,-0.029,0.0002,0.0382,-0.0009,0.0044,0,,4.059,4.059
2.719,0.000,-0.004,0.0000,0.0505,-0.0010,0.0037,1,0.050,2.888,2.888
2.850,0.000,0.003,0.0000,0.0510,0.0001,0.0039,0,,3.387,3.387
2.967,0.000,0.009,0.0002,0.0514,0.0016,0.0029,0,,3.920,3.920
3.088,0.000,0.015,0.0005,0.0520,0.0021,0.0054,0,,4.559,4.559
3.228,0.000,0.024,0.0006,0.0538,0.0012,0.0058,1,0.004,3.378,3.378
3.353,0.000,0.031,0.0005,0.0543,-0.0008,0.0046,0,,3.924,3.924
3.493,0.000,0.034,0.0003,0.0526,-0.0011,0.0065,1,0.012,2.829,2.829
3.617,0.000,0.040,0.0003,0.0532,-0.0003,0.0055,0,,3.263,3.263
3.745,0.000,0.047,0.0003,0.0541,0.0005,0.0066,0,,3.771,3.771
3.868,0.000,0.054,0.0005,0.0548,0.0017,0.0054,0,,4.318,4.318
3.987,0.000,0.061,0.0007,0.0556,0.0012,0.0074,0,,4.905,4.905
4.135,0.000,0.052,0.0004,0.0485,-0.0012,0.0079,1,0.042,3.494,3.494
4.273,0.000,0.048,-0.0001,0.0443,-0.0034,0.0102,1,0.033,2.586,2.586
4.397,0.000,0.053,-0.0005,0.0453,-0.0031,0.0086,0,,2.919,2.919
4.519,0.000,0.059,-0.0010,0.0466,-0.0041,0.0101,0,,3.283,3.283
4.637,-0.000,0.064,-0.0013,0.0477,-0.0024,0.0099,0,,3.669,3.669
4.764,-0.000,0.071,-0.0016,0.0490,-0.0022,0.0096,0,,4.125,4.125
4.912,-0.000,0.060,-0.0016,0.0425,-0.0005,0.0087,1,0.051,3.092,3.092
5.051,-0.000,0.053,-0.0015,0.0381,0.0001,0.0086,1,0.040,2.360,2.360
5.182,-0.001,0.058,-0.0016,0.0393,-0.0010,0.0091,0,,2.643,2.643
5.307,-0.001,0.063,-0.0017,0.0405,-0.0009,0.0097,0,,2.942,2.942
5.432,-0.001,0.069,-0.0021,0.0421,-0.0029,0.0127,0,,3.271,3.271
5.562,-0.001,0.074,-0.0023,0.0435,-0.0018,0.0110,0,,3.645,3.645
5.703,-0.001,0.064,-0.0022,0.0383,-0.0003,0.0110,1,0.054,2.812,2.812
5.831,-0.001,0.069,-0.0022,0.0396,-0.0001,0.0105,0,,3.117,3.117
5.968,-0.001,0.127,-0.0019,0.0622,0.0001,0.0108,1,0.165,2.354,2.354
6.092,-0.001,0.135,-0.0020,0.0637,-0.0003,0.0122,0,,2.596,2.596
6.217,-0.002,0.143,-0.0021,0.0653,-0.0007,0.0129,0,,2.866,2.866
6.350,-0.002,0.152,-0.0024,0.0671,-0.0024,0.0131,0,,3.181,3.181
6.468,-0.002,0.160,-0.0025,0.0685,-0.0013,0.0119,0,,3.486,3.486
6.602,-0.002,0.190,-0.0021,0.0781,0.0007,0.0123,1,0.070,2.703,2.703
6.739,-0.002,0.201,-0.0021,0.0797,0.0001,0.0118,0,,3.000,3.000
6.857,-0.002,0.211,-0.0022,0.0812,-0.0008,0.0124,0,,3.280,3.280
6.988,-0.002,0.227,-0.0020,0.0853,-0.0007,0.0145,1,0.018,2.418,2.418
7.112,-0.002,0.238,-0.0020,0.0869,-0.0004,0.0135,0,,2.653,2.653
7.237,-0.002,0.249,-0.0022,0.0887,-0.0012,0.0138,0,,2.913,2.913
7.362,-0.003,0.260,-0.0025,0.0905,-0.0023,0.0144,0,,3.198,3.198
7.488,-0.003,0.272,-0.0028,0.0923,-0.0023,0.0146,0,,3.512,3.512
7.622,-0.002,0.271,-0.0026,0.0892,-0.0014,0.0139,1,0.045,2.709,2.709
7.755,-0.003,0.283,-0.0025,0.0910,0.0007,0.0136,0,,2.985,2.985
7.877,-0.003,0.294,-0.0025,0.0927,-0.0001,0.0133,0,,3.263,3.263
8.008,-0.002,0.284,-0.0020,0.0864,0.0007,0.0133,1,0.067,2.405,2.405
8.132,-0.002,0.295,-0.0021,0.0884,-0.0006,0.0159,0,,2.632,2.632
8.257,-0.003,0.306,-0.0020,0.0902,0.0004,0.0145,0,,2.883,2.883
8.382,-0.003,0.317,-0.0023,0.0923,-0.0020,0.0164,0,,3.159,3.159
8.508,-0.003,0.329,-0.0025,0.0943,-0.0016,0.0159,0,,3.462,3.462
8.642,-0.003,0.311,-0.0022,0.0853,-0.0007,0.0155,1,0.103,2.679,2.679
8.775,-0.003,0.323,-0.0020,0.0871,0.0014,0.0131,0,,2.949,2.949
8.897,-0.003,0.334,-0.0019,0.0890,0.0006,0.0156,0,,3.220,3.220
9.028,-0.002,0.305,-0.0015,0.0766,-0.0005,0.0164,1,0.106,2.192,2.192
9.152,-0.002,0.315,-0.0018,0.0788,-0.0023,0.0176,0,,2.397,2.397
9.277,-0.003,0.325,-0.0021,0.0809,-0.0018,0.0166,0,,2.627,2.627
9.402,-0.003,0.335,-0.0021,0.0829,-0.0001,0.0160,0,,2.879,2.879
9.529,-0.003,0.345,-0.0019,0.0849,0.0009,0.0158,0,,3.161,3.161
9.662,-0.002,0.324,-0.0016,0.0750,0.0001,0.0158,1,0.118,2.512,2.512
