kind,esp_t_us,sentence,utc,status_or_quality,lat_deg,lon_deg,altitude_m,speed_kn,course_deg,date_ddmmyy,satellites,hdop,checksum_ok
RMC,1657219,GNRMC,091830.000,A,26.03045082,119.19306946,,0.000,347.980,060726,,,1
GGA,1798763,GNGGA,091831.000,1,26.03045273,119.19306946,36.100,,,,13,0.90,1
RMC,2437325,GNRMC,091831.000,A,26.03045273,119.19306946,,0.000,347.980,060726,,,1
GGA,2697209,GNGGA,091832.000,1,26.03045273,119.19306946,36.100,,,,13,0.90,1
RMC,3207431,GNRMC,091832.000,A,26.03045273,119.19306946,,0.000,347.980,060726,,,1
GGA,3477209,GNGGA,091833.000,1,26.03045273,119.19306946,36.100,,,,13,0.90,1
RMC,4107209,GNRMC,091833.000,A,26.03045273,119.19306946,,0.000,347.980,060726,,,1
GGA,4257223,GNGGA,091834.000,1,26.03045273,119.19306946,36.100,,,,12,0.90,1
RMC,4887219,GNRMC,091834.000,A,26.03045273,119.19306946,,0.000,347.980,060726,,,1
GGA,5037322,GNGGA,091835.000,1,26.03045273,119.19306946,36.100,,,,12,0.90,1
RMC,5687229,GNRMC,091835.000,A,26.03045273,119.19306946,,0.000,347.980,060726,,,1
GGA,5957232,GNGGA,091836.000,1,26.03045464,119.19306946,36.100,,,,12,0.90,1
RMC,6587328,GNRMC,091836.000,A,26.03045464,119.19306946,,0.000,347.980,060726,,,1
GGA,6977216,GNGGA,091837.000,1,26.03045464,119.19306946,36.100,,,,12,0.90,1
RMC,7607317,GNRMC,091837.000,A,26.03045464,119.19306946,,0.000,347.980,060726,,,1
GGA,7997219,GNGGA,091838.000,1,26.03045464,119.19306946,36.100,,,,12,0.90,1
RMC,8627316,GNRMC,091838.000,A,26.03045464,119.19306946,,0.000,347.980,060726,,,1
GGA,9017219,GNGGA,091839.000,1,26.03045464,119.19306946,36.100,,,,13,0.80,1
RMC,9647325,GNRMC,091839.000,A,26.03045464,119.19306946,,0.000,347.980,060726,,,1
GGA,10037216,GNGGA,091840.000,1,26.03045464,119.19306946,36.100,,,,13,0.80,1
RMC,10667313,GNRMC,091840.000,A,26.03045464,119.19306946,,0.000,347.980,060726,,,1
GGA,10937229,GNGGA,091841.000,1,26.03045654,119.19306946,36.100,,,,13,0.80,1
RMC,11577330,GNRMC,091841.000,A,26.03045654,119.19306946,,0.000,347.980,060726,,,1
GGA,11977219,GNGGA,091842.000,1,26.03045654,119.19306946,36.100,,,,13,0.80,1
RMC,12607321,GNRMC,091842.000,A,26.03045654,119.19306946,,0.000,347.980,060726,,,1
GGA,12997221,GNGGA,091843.000,1,26.03045654,119.19306946,36.100,,,,13,0.80,1
RMC,13627316,GNRMC,091843.000,A,26.03045654,119.19306946,,0.000,347.980,060726,,,1
GGA,14017213,GNGGA,091844.000,1,26.03045845,119.19306946,36.100,,,,13,0.80,1
RMC,14657326,GNRMC,091844.000,A,26.03045845,119.19306946,,0.000,347.980,060726,,,1
GGA,15047217,GNGGA,091845.000,1,26.03045845,119.19306946,36.100,,,,13,0.80,1
RMC,15667317,GNRMC,091845.000,A,26.03045845,119.19306946,,0.000,347.980,060726,,,1
GGA,15937231,GNGGA,091846.000,1,26.03045845,119.19306946,36.100,,,,13,0.80,1
RMC,16567319,GNRMC,091846.000,A,26.03045845,119.19306946,,0.000,347.980,060726,,,1
GGA,16957222,GNGGA,091847.000,1,26.03046036,119.19306183,36.200,,,,13,0.80,1
RMC,17587322,GNRMC,091847.000,A,26.03046036,119.19306183,,0.000,347.980,060726,,,1
GGA,17977213,GNGGA,091848.000,1,26.03046036,119.19306183,36.200,,,,13,0.80,1
RMC,18607317,GNRMC,091848.000,A,26.03046036,119.19306183,,0.000,347.980,060726,,,1
GGA,18997216,GNGGA,091849.000,1,26.03046036,119.19306183,36.200,,,,13,0.80,1
