t_s,ax_raw_g,ay_raw_g,az_raw_g,gx_raw_dps,gy_raw_dps,gz_raw_dps,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,mpu_temp_c,roll_deg,pitch_deg,bx_uT,by_uT,bz_uT,mag_uT,bx_cal_uT,by_cal_uT,bz_cal_uT,mag_cal_uT,yaw_flat_deg,yaw_tilt_deg,mahony_roll_deg,mahony_pitch_deg,mahony_yaw_deg,bmp_temp_c,pressure_pa,altitude_m,imu_dt_us,mag_dt_us,bmp_dt_us,imu_mag_dt_us,imu_bmp_dt_us
1.257,0.010742,0.008789,0.952393,2.244275,-0.045802,0.335878,0.026303,-0.009091,0.986817,0.683757,0.657776,-0.174141,41.521,-0.528,-1.527,33.3027,-11.1927,29.8165,46.0801,37.4697,-10.0125,35.7607,52.7547,14.961,14.857,-0.528,-1.527,14.857,24.920,100665.45,-140.717,1965,3578,4836,1613,2871
1.377,-0.007324,0.003418,0.980957,2.167939,0.000000,0.366412,0.008135,-0.014569,1.015118,0.607744,0.703983,-0.143780,41.527,-0.462,-1.423,33.2110,-11.1009,29.8165,45.9916,37.3616,-9.9072,35.7584,52.6564,14.851,14.778,-0.483,-1.316,14.833,24.920,100666.05,-140.764,1958,3568,4874,1610,2916
1.497,-0.001709,0.002441,0.969482,2.259542,-0.061069,0.351145,0.013703,-0.015458,1.003726,0.697894,0.641091,-0.158266,41.501,-0.388,-1.334,33.3027,-11.1009,29.8165,46.0579,37.4703,-9.9066,35.7612,52.7354,14.809,14.781,-0.439,-1.177,14.805,24.920,100666.48,-140.801,1970,3572,4883,1602,2913
1.617,-0.014893,0.004150,0.973389,2.274809,0.015267,0.320611,0.000573,-0.013459,1.007671,0.713161,0.717427,-0.188800,41.501,-0.312,-1.224,33.3945,-11.1009,29.7248,46.0650,37.5762,-9.9065,35.6529,52.7375,14.769,14.782,-0.383,-0.956,14.773,24.920,100666.48,-140.801,1965,3574,4880,1609,2915
1.737,-0.000244,0.001709,0.970703,2.213740,-0.106870,0.320611,0.015149,-0.016258,1.004920,0.654192,0.597923,-0.189929,41.539,-0.248,-1.146,33.3027,-11.1009,29.8165,46.0579,37.4703,-9.9066,35.7612,52.7354,14.809,14.863,-0.365,-0.875,14.746,24.920,100666.31,-140.786,1974,3576,4878,1602,2904
1.857,0.000488,-0.016846,0.984375,2.305344,-0.030534,0.351145,0.015383,-0.035136,1.018267,0.744180,0.672233,-0.158526,41.509,-0.195,-1.062,33.3027,-11.1009,29.8165,46.0579,37.4703,-9.9066,35.7612,52.7354,14.809,14.890,-0.465,-0.794,14.726,24.920,100665.98,-140.759,1961,3565,4878,1604,2917
1.977,-0.001465,0.007324,0.960205,2.442748,-0.335878,0.290076,0.014068,-0.010379,0.994591,0.880939,0.366079,-0.219248,41.498,-0.099,-1.014,33.3945,-11.1009,29.7248,46.0650,37.5762,-9.9065,35.6529,52.7375,14.769,14.923,-0.365,-0.755,14.687,24.920,100665.81,-140.743,1969,3575,4880,1606,2911
2.097,-0.002197,-0.001709,0.973389,2.259542,0.091603,0.335878,0.013104,-0.019680,1.007554,0.698863,0.794978,-0.174054,41.518,-0.037,-0.915,33.2110,-11.1927,29.8165,46.0138,37.3610,-10.0131,35.7579,52.6757,15.003,15.193,-0.381,-0.656,14.678,24.920,100665.31,-140.701,1965,3569,4874,1604,2909
2.217,-0.028809,0.000488,0.977051,2.351145,-0.137405,0.274809,-0.013441,-0.016806,1.011324,0.789820,0.565160,-0.234776,41.506,0.037,-0.815,33.3945,-11.2844,29.8165,46.1688,37.5779,-10.1178,35.7630,52.8532,15.069,15.302,-0.366,-0.415,14.663,24.920,100665.75,-140.738,1968,3570,4881,1602,2913
2.337,-0.002686,0.003174,0.978516,2.259542,-0.061069,0.335878,0.012763,-0.014892,1.012678,0.698379,0.641698,-0.173793,41.509,0.102,-0.737,33.3945,-11.2844,29.8165,46.1688,37.5779,-10.1178,35.7630,52.8532,15.069,15.340,-0.350,-0.372,14.654,24.920,100666.08,-140.764,1963,3571,4878,1608,2915
2.457,-0.005371,-0.000488,0.971924,2.244275,-0.091603,0.351145,0.009962,-0.018337,1.006131,0.683434,0.611569,-0.158700,41.515,0.159,-0.662,33.3027,-11.2844,29.8165,46.1024,37.4692,-10.1184,35.7602,52.7742,15.112,15.417,-0.365,-0.319,14.650,24.920,100666.41,-140.796,1972,3574,4876,1602,2904
2.577,-0.003418,-0.003906,0.965820,2.244275,0.015267,0.366412,0.011808,-0.021680,1.000049,0.684241,0.719453,-0.143867,41.530,0.212,-0.578,33.2110,-11.1927,29.8165,46.0138,37.3610,-10.0131,35.7579,52.6757,15.003,15.334,-0.394,-0.274,14.640,24.920,100666.41,-140.796,1961,3565,4878,1604,2917
2.697,-0.000244,0.002441,0.969238,2.244275,-0.091603,0.366412,0.015167,-0.015494,1.003478,0.684080,0.612380,-0.143780,41.527,0.270,-0.512,33.3945,-11.1927,29.7248,46.0872,37.5757,-10.0124,35.6524,52.7568,14.920,15.283,-0.370,-0.272,14.622,24.920,100666.16,-140.775,1969,3575,4880,1606,2911
2.817,-0.007812,-0.003906,0.958740,2.290076,0.045802,0.351145,0.007400,-0.021402,0.993062,0.729559,0.749379,-0.158873,41.521,0.326,-0.422,33.3945,-11.1009,29.7248,46.0650,37.5762,-9.9065,35.6529,52.7375,14.769,15.159,-0.379,-0.202,14.595,24.920,100666.31,-140.786,1965,3569,4874,1604,2909
2.937,0.006348,0.006836,0.964600,2.290076,-0.061069,0.351145,0.021875,-0.011184,0.998899,0.729720,0.642711,-0.158960,41.524,0.392,-0.363,33.3945,-11.1927,29.7248,46.0872,37.5757,-10.0124,35.6524,52.7568,14.920,15.355,-0.325,-0.251,14.578,24.920,100665.89,-140.754,1968,3570,4881,1602,2913
3.057,-0.012695,0.002686,0.981689,2.152672,-0.015267,0.305344,0.002744,-0.015166,1.015861,0.591509,0.687500,-0.204328,41.509,0.437,-0.278,33.3027,-11.1009,29.8165,46.0579,37.4703,-9.9066,35.7612,52.7354,14.809,15.265,-0.318,-0.157,14.553,24.920,100665.55,-140.722,1963,3571,4878,1608,2915
